video_id,title,published_at,subscriberCount,videoCount,viewCount,video_published_date,video_commentCount,video_viewCount,video_likeCount,video_dislikeCount,likesVSviews,rating,raw_rating
ySBa4nAHxgI,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-05-03 17:30:01,67,59757,847,61,0.01315327074652342,0.27597647522758617,0.013153270746523421
VB7OYuJDmOg,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-04-23 17:30:00,21,17036,526,10,0.03028880018783752,0.6631150916776811,0.030288800187837518
VTii6mWsS-Y,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-04-21 17:30:00,106,27494,1035,71,0.03506219538808467,0.7709591836809153,0.035062195388084666
DhBI5B_-9D8,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-04-19 17:30:01,15,26905,481,30,0.01676268351607508,0.3575230110721404,0.016762683516075082
aerQVi6rDRc,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-04-11 17:30:01,27,13736,373,20,0.02569889341875364,0.559416506681886,0.02569889341875364
gm4vCJm7rk8,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-04-26 17:30:00,83,225443,3583,183,0.015081417475814285,0.3195385991553541,0.015081417475814284
Z_af5y0xsK8,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-04-16 17:30:01,75,20546,620,96,0.025503747688114475,0.5550076293008557,0.025503747688114475
OEP8QLDnsAQ,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-04-12 17:30:01,90,51911,842,36,0.01552657432914026,0.3295959136311116,0.01552657432914026
e-ObAZXgAs8,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-04-05 17:30:30,66,116706,1652,114,0.01317841413466317,0.2765445333392791,0.01317841413466317
xb2Tyrd_hv8,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-03-29 17:30:00,110,279172,3062,165,0.010377115183471121,0.2132555054780878,0.01037711518347112
XeUK_pbHOnE,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-03-28 17:30:00,63,45324,1364,41,0.029189833200953138,0.6382864127457671,0.029189833200953138
jzduJYRStAQ,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-03-26 17:30:01,54,16810,531,39,0.02926829268292683,0.6400590276744573,0.02926829268292683
04nlptuWXM8,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-03-23 17:30:01,124,19867,479,73,0.020435898726531433,0.4405110190802818,0.020435898726531437
YhkPiX0tX70,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-03-20 17:30:00,27,15966,411,16,0.02474007265439058,0.537754115367371,0.024740072654390582
dW-r1RF5jyw,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-03-22 20:00:04,31,16305,346,16,0.020239190432382703,0.4360668391031292,0.020239190432382703
hiqTw3YE6qA,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-03-16 17:30:00,82,37565,1219,47,0.031199254625316118,0.6836847549888418,0.031199254625316118
GnaMvQ4-RfE,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-03-15 17:30:00,30,37027,488,36,0.012207308180516921,0.2546045858866956,0.012207308180516921
2IWBtXSrQQY,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-03-12 17:30:01,49,30726,744,16,0.023693289071144957,0.5141044026737372,0.02369328907114496
yms18Mkle1c,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-03-08 18:30:00,66,137659,1564,60,0.010925547911869183,0.2256461052792279,0.010925547911869185
uz1NU82KbpY,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-03-03 18:30:01,24,14617,317,16,0.020592460833276323,0.4440481865545236,0.020592460833276326
